"LAD16CD","LAD16CDO","LAD16NM"
"E07000130","31UC","Charnwood"
"E07000071","22UG","Colchester"
"E07000177","38UB","Cherwell"
"E08000007","00BS","Stockport"
"W06000014","00PD","The Vale of Glamorgan"
"S12000013","00RJ","Na h-Eileanan Siar"
"E07000178","38UC","Oxford"
"E07000131","31UD","Harborough"
"W06000016","00PF","Rhondda, Cynon, Taff"
"E07000072","22UH","Epping Forest"
"E08000008","00BT","Tameside"
"E06000014","00FF","York"
"S12000014","00QQ","Falkirk"
"W06000024","00PH","Merthyr Tydfil"
"E07000073","22UJ","Harlow"
"E08000009","00BU","Trafford"
"E07000132","31UE","Hinckley and Bosworth"
"E06000015","00FK","Derby"
"E07000179","38UD","South Oxfordshire"
"S12000015","00QR","Fife"
"W06000018","00PK","Caerphilly"
"E07000074","22UK","Maldon"
"E07000133","31UG","Melton"
"E06000016","00FN","Leicester"
"E07000180","38UE","Vale of White Horse"
"E08000010","00BW","Wigan"
"S12000017","00QT","Highland"
"E06000017","00FP","Rutland"
"E07000075","22UL","Rochford"
"E07000181","38UF","West Oxfordshire"
"E07000134","31UH","North West Leicestershire"
"E08000011","00BX","Knowsley"
"W06000019","00PL","Blaenau Gwent"
"S12000018","00QU","Inverclyde"
"E06000018","00FY","Nottingham"
"E07000076","22UN","Tendring"
"E08000012","00BY","Liverpool"
"W06000020","00PM","Torfaen"
"E07000135","31UJ","Oadby and Wigston"
"E07000187","40UB","Mendip"
"S12000019","00QW","Midlothian"
"E06000019","00GA","Herefordshire, County of"
"E07000077","22UQ","Uttlesford"
"E07000188","40UC","Sedgemoor"
"E07000136","32UB","Boston"
"E08000013","00BZ","St. Helens"
"W06000021","00PP","Monmouthshire"
"S12000020","00QX","Moray"
"E06000020","00GF","Telford and Wrekin"
"E07000078","23UB","Cheltenham"
"E07000137","32UC","East Lindsey"
"E08000014","00CA","Sefton"
"E07000189","40UD","South Somerset"
"W06000022","00PR","Newport"
"S12000021","00QY","North Ayrshire"
"E06000051","00GG","Shropshire"
"E07000138","32UD","Lincoln"
"E08000015","00CB","Wirral"
"E07000079","23UC","Cotswold"
"W06000015","00PT","Cardiff"
"E07000190","40UE","Taunton Deane"
"S12000023","00RA","Orkney Islands"
"E06000021","00GL","Stoke-on-Trent"
"E07000080","23UD","Forest of Dean"
"E08000016","00CC","Barnsley"
"E07000139","32UE","North Kesteven"
"E07000191","40UF","West Somerset"
"E07000004","11UB","Aylesbury Vale"
"S12000024","00RB","Perth and Kinross"
"E06000022","00HA","Bath and North East Somerset"
"E07000081","23UE","Gloucester"
"E08000017","00CE","Doncaster"
"E07000140","32UF","South Holland"
"E07000192","41UB","Cannock Chase"
"E07000005","11UC","Chiltern"
"S12000026","00QE","Scottish Borders"
"E07000082","23UF","Stroud"
"E06000023","00HB","Bristol, City of"
"E08000018","00CF","Rotherham"
"E07000193","41UC","East Staffordshire"
"E07000141","32UG","South Kesteven"
"E07000006","11UE","South Bucks"
"S12000027","00RD","Shetland Islands"
"E07000142","32UH","West Lindsey"
"E07000007","11UF","Wycombe"
"E08000019","00CG","Sheffield"
"E07000083","23UG","Tewkesbury"
"E07000194","41UD","Lichfield"
"E06000024","00HC","North Somerset"
"S12000028","00RE","South Ayrshire"
"E07000143","33UB","Breckland"
"E07000008","12UB","Cambridge"
"E07000084","24UB","Basingstoke and Deane"
"E08000037","00CH","Gateshead"
"E07000195","41UE","Newcastle-under-Lyme"
"E06000025","00HD","South Gloucestershire"
"S12000029","00RF","South Lanarkshire"
"E07000144","33UC","Broadland"
"E07000009","12UC","East Cambridgeshire"
"E06000052","00HE","Cornwall"
"E07000085","24UC","East Hampshire"
"E07000196","41UF","South Staffordshire"
"E08000021","00CJ","Newcastle upon Tyne"
"S12000030","00RG","Stirling"
"E07000197","41UG","Stafford"
"E07000086","24UD","Eastleigh"
"E08000022","00CK","North Tyneside"
"E07000145","33UD","Great Yarmouth"
"E07000010","12UD","Fenland"
"E06000053","00HF","Isles of Scilly"
"S12000033","00QA","Aberdeen City"
"E07000198","41UH","Staffordshire Moorlands"
"E07000087","24UE","Fareham"
"E08000023","00CL","South Tyneside"
"E07000146","33UE","King`s Lynn and West Norfolk"
"E07000011","12UE","Huntingdonshire"
"E06000026","00HG","Plymouth"
"S12000034","00QB","Aberdeenshire"
"E07000199","41UK","Tamworth"
"E07000012","12UG","South Cambridgeshire"
"E07000147","33UF","North Norfolk"
"E07000088","24UF","Gosport"
"E06000027","00HH","Torbay"
"S12000035","00QD","Argyll and Bute"
"E07000200","42UB","Babergh"
"E07000148","33UG","Norwich"
"E07000026","16UB","Allerdale"
"E07000089","24UG","Hart"
"E06000028","00HN","Bournemouth"
"S12000036","00QP","City of Edinburgh"
"E07000201","42UC","Forest Heath"
"E07000149","33UH","South Norfolk"
"E06000029","00HP","Poole"
"E07000090","24UH","Havant"
"E07000027","16UC","Barrow-in-Furness"
"S12000038","00RC","Renfrewshire"
"E07000150","34UB","Corby"
"E07000202","42UD","Ipswich"
"E07000028","16UD","Carlisle"
"E07000091","24UJ","New Forest"
"E06000030","00HX","Swindon"
"S12000039","00QG","West Dunbartonshire"
"E07000151","34UC","Daventry"
"E07000203","42UE","Mid Suffolk"
"E07000092","24UL","Rushmoor"
"E07000029","16UE","Copeland"
"E06000054","00HY","Wiltshire"
"S12000040","00RH","West Lothian"
"E07000204","42UF","St Edmundsbury"
"E07000152","34UD","East Northamptonshire"
"E07000093","24UN","Test Valley"
"E07000030","16UF","Eden"
"E06000031","00JA","Peterborough"
"S12000041","00QC","Angus"
"E07000153","34UE","Kettering"
"E07000205","42UG","Suffolk Coastal"
"E07000031","16UG","South Lakeland"
"E07000094","24UP","Winchester"
"E06000032","00KA","Luton"
"S12000042","00QJ","Dundee City"
"E07000154","34UF","Northampton"
"E07000206","42UH","Waveney"
"E06000055","00KB","Bedford"
"E07000095","26UB","Broxbourne"
"E07000032","17UB","Amber Valley"
"S12000044","00QZ","North Lanarkshire"
"E07000207","43UB","Elmbridge"
"E07000155","34UG","South Northamptonshire"
"E07000096","26UC","Dacorum"
"E06000056","00KC","Central Bedfordshire"
"E07000033","17UC","Bolsover"
"S12000045","00QL","East Dunbartonshire"
"E07000156","34UH","Wellingborough"
"E07000242","26UD","East Hertfordshire"
"E06000033","00KF","Southend-on-Sea"
"E07000034","17UD","Chesterfield"
"E07000208","43UC","Epsom and Ewell"
"S12000046","00QS","Glasgow City"
"E07000098","26UE","Hertsmere"
"E07000035","17UF","Derbyshire Dales"
"E07000209","43UD","Guildford"
"N09000001","N09000001","Antrim and Newtownabbey"
"E07000099","26UF","North Hertfordshire"
"E07000210","43UE","Mole Valley"
"E07000036","17UG","Erewash"
"N09000002","N09000002","Armagh City, Banbridge and Craigavon"
"E07000240","26UG","St Albans"
"E07000037","17UH","High Peak"
"E07000211","43UF","Reigate and Banstead"
"N09000003","N09000003","Belfast"
"N09000004","N09000004","Causeway Coast and Glens"
"E07000212","43UG","Runnymede"
"N09000005","N09000005","Derry City and Strabane"
"E07000213","43UH","Spelthorne"
"N09000006","N09000006","Fermanagh and Omagh"
"E07000214","43UJ","Surrey Heath"
"N09000007","N09000007","Lisburn and Castlereagh"
"E07000215","43UK","Tandridge"
"N09000008","N09000008","Mid and East Antrim"
"E07000216","43UL","Waverley"
"N09000009","N09000009","Mid Ulster"
"E07000217","43UM","Woking"
"N09000010","N09000010","Newry, Mourne and Down"
"E07000218","44UB","North Warwickshire"
"N09000011","N09000011","Ards and North Down"
"E07000219","44UC","Nuneaton and Bedworth"
"E07000220","44UD","Rugby"
"E07000221","44UE","Stratford-on-Avon"
"E07000222","44UF","Warwick"
"E07000223","45UB","Adur"
